Antioxidant;Antioxidans
Advil;
Aflibercept;
Airborne (dietary supplement);
Akuammine;
Alclometasone;
Alefacept;
Alemtuzumab;Alemtuzumab
Alfentanil;Alfentanil
Alka-Seltzer;
Allosteric modulator;Allosterischer Modulator
Allosteric regulation;Allosterie
Alogliptin;
Alosetron;Alosetron
Alpha 1-antitrypsin;Α-1-Antitrypsin
Alsactide;
Altretamine;Altretamin
Ambroxol;Ambroxol
Amfepramone;
Amikacin;Amikacin
Aminocaproic acid;
Aminocoumarin;Aminocumarine
Aminohippuric acid;P-Aminohippursäure
Aminolevulinic acid;5-Aminolävulinsäure
Amlexanox;
Amoxapine;Amoxapin
Amtolmetin guacil;
Amyl nitrite;Amylnitrit
Anakinra;Anakinra
Anthelmintic;Anthelminthikum
Antifolate;
Antigonadotropin;
Antimineralocorticoid;
Antimony pentasulfide;Antimon(V)-sulfid
Antithyroid agent;Thyreostatikum
Anxiogenic;
Arbekacin;
Arbidol;
Argatroban;Argatroban
Ascomycin;
Asparagine;Asparagin
Aspartic acid;Asparaginsäure
Aspergum;
Atenolol;Atenolol
Atovaquone;Atovaquon
Atovaquone/proguanil;Atovaquon-Proguanil
August Bier;August Bier
Azelaic acid;Azelainsäure
Aztreonam;Aztreonam
Benazepril;
Bendamustine;Bendamustin
Benzatropine;Benzatropin
Benzbromarone;Benzbromaron
Benzocaine;Benzocain
Benzonatate;
Benzphetamine;
Benztropine;
Benzyl benzoate;Benzoesäurebenzylester
Betahistine;Betahistin
Betahydroxythiofentanyl;
Betamethasone;Betamethason
Bethanechol;Bethanechol
Bezafibrate;Bezafibrat
Bicalutamide;
Bifeprunox;
Bimatoprost;
Biological half-life;Biologische Halbwertszeit
Biological target;Target (Biologie)
Biperiden;Biperiden
Bivalirudin;Bivalirudin
Black triangle (pharmacovigilance);
Blinatumomab;Blinatumomab
Blonanserin;
Blood–brain barrier;Blut-Hirn-Schranke
Bosutinib;Bosutinib
Breast cancer chemotherapy;
Bremelanotide;Bremelanotid
Bromocriptine;Bromocriptin
Brompheniramine;
Brotizolam;Brotizolam
Budesonide;Budesonid
Busulfan;Busulfan
Butalbital;
Butorphanol;Butorphanol
Butylscopolamine;Butylscopolaminbromid
Calcium 2-aminoethylphosphate;
Canagliflozin;
Candesartan;Candesartan
Cannabinoid;Cannabinoide
Capecitabine;Capecitabin
Carbachol;Carbachol
Carbamazepine;Carbamazepin
Carbenoxolone;
Carfentanil;Carfentanyl
Carisoprodol;Carisoprodol
Carmustine;Carmustin
Carprofen;Carprofen
Caspofungin;Caspofungin
Cefaclor;Cefaclor
Cefepime;
Cefotaxime;Cefotaxim
Cefotetan;
Ceftazidime;Ceftazidim
Cefuroxime;Cefuroxim
Cerivastatin;Cerivastatin
Certificate of pharmaceutical product;
Cheminformatics;Chemoinformatik
Chemogenomics;Chemische Genetik
Chlorhexidine gluconate;
Chloropyramine;
Chlorphentermine;
Chlorpropamide;Chlorpropamid
Chlorprothixene;Chlorprothixen
Cholera vaccine;
Cholestyramine;Colestyramin
Cilostazol;Cilostazol
Clemastine;Clemastin
Clevidipine;
Clinical pharmacy;Klinische Pharmazie
Clinical research;
Clinical trials unit;
Clofarabine;
Clofazimine;Clofazimin
Clomethiazole;Clomethiazol
Clomifene;Clomifen
Co-codamol;
Colostrinin;
Combinatorial chemistry;Kombinatorische Chemie
Compounding;Eigenherstellung von Arzneimitteln
Concomitant drug;
Contract research organization;Auftragsforschungsinstitut
Crossover study;Doppelcrossover
Cryogenine;
Cyclizine;Cyclizin
Cyclopentamine;
Cycloserine;Cycloserin
Cyproheptadine;Cyproheptadin
Cysteamine;
Cysteine;Cystein
Dacarbazine;Dacarbazin
Daclizumab;Daclizumab
Dactinomycin;Actinomycin D
Dalfopristin;
Danazol;Danazol
Dantrolene;Dantrolen
Daptomycin;Daptomycin
Darbepoetin alfa;
Darunavir;
Dasatinib;Dasatinib
Daunorubicin;Daunorubicin
Deferiprone;
Deferoxamine;Deferoxamin
Defibrotide;
Dehydroemetine;
Delavirdine;Delavirdin
Demeclocycline;
Desloratadine;Desloratadin
Desmopressin;Desmopressin
Desoximetasone;
Desoxypipradrol;Desoxypipradrol
Dexbrompheniramine/pseudoephedrine;
Dexmedetomidine;Dexmedetomidin
Dextromoramide;Dextromoramid
Dextrorphan;
Diacetyldihydromorphine;
Dibutyltryptamine;
Dicoumarol;Dicumarol
Dicycloverine;
Diethyltryptamine;
Dihydromorphine;
Dihydrotestosterone;Dihydrotestosteron
Diisopropyltryptamine;
Dimercaprol;Dimercaprol
Dimercaptosuccinic acid;Dimercaptobernsteinsäure
Diosmin;
Diphenoxylate;Diphenoxylat
Dipropyltryptamine;
Dissociation (chemistry);Dissoziation (Chemie)
Dissociative;Dissoziativa
Dizocilpine;
Docosanol;
Dofetilide;
Dolasetron;Dolasetron
Donnatal;
Dornase alfa;Desoxyribonuklease#Verwendung als Arzneistoff
Dosage form;Arzneiform
Dose–response relationship;Dosis-Wirkungs-Kurve
Dosulepin;Dosulepin
Doxapram;
Doxepin;Doxepin
Doxylamine;Doxylamin
Drospirenone;Drospirenon
Droxidopa;Droxidopa
Drug-induced amnesia;
Drug Master File;Drug Master File
Drug delivery;
Drug discovery;Pharmaforschung
Drug holiday;
Drug policy;Drogenpolitik
Drug reaction testing;
Ecallantide;Ecallantid
Effective dose (pharmacology);
Emetine;
Emtricitabine;Emtricitabin
Emulsion;Emulsion
Endorphins;Endorphine
Entecavir;Entecavir
Eperisone;Eperison
Epiandrosterone;
Epinephrine autoinjector;
Epirubicin;Epirubicin
Eplerenone;Eplerenon
Epoprostenol;
Ergine;Ergin
Ergometrine;Ergometrin
Eribulin;Eribulin
Ertapenem;Ertapenem
Esmolol;Esmolol
Estrone;Estron
Etanercept;Etanercept
Ethambutol;Ethambutol
Ethchlorvynol;
Ethocybin;Psilocybin
Ethotoin;
Ethylisopropyltryptamine;
Ethylmorphine;
Etilamfetamine;
Excedrin;
Ezetimibe;Ezetimib
FOLFIRINOX;
Febuxostat;Febuxostat
Felbamate;Felbamat
Fencamfamine;
Fenofibrate;Fenofibrat
Fenoterol;Fenoterol
Filgrastim;Filgrastim
First DataBank;
Fixed-dose combination (antiretroviral);
Flavoxate;
Floxuridine;
Fludarabine;Fludarabin
Flumazenil;Flumazenil
Fluoxymesterone;Fluoxymesteron
Fluphenazine;Fluphenazin
Folinic acid;Folinsäure
Fondaparinux;Fondaparinux
Food and Drug Administration Modernization Act of 1997;
Formoterol;Formoterol
Fosfomycin;Fosfomycin
Fosinopril;Fosinopril
Fosphenytoin;
Frank Baldino, Jr.;
Furazolidone;
GABAA receptor;
Galantamine;Galantamin
Galenika a.d.;Galenika
Gatifloxacin;
Gefitinib;Gefitinib
Gemcitabine;Gemcitabin
Gemfibrozil;Gemfibrozil
Gemifloxacin;
Gestodene;Gestoden
Gestrinone;
Glutamine;Glutamin
Glutethimide;Glutethimid
Glycine;Glycin
Gonadotropin-releasing hormone antagonist;
Gramicidin B;
Granulocyte macrophage colony-stimulating factor;GM-CSF
Grapefruit juice;
Grepafloxacin;Grepafloxacin
Guanethidine;Guanethidin
Guanidine;Guanidin
HIV drug resistance;
Halofuginone;
Halothane;Halothan
Hand sanitizer;Händedesinfektionsmittel
Health effects of chocolate;
Hemin;Hämine
Hemofarm a.d.;Hemofarm
History of pharmacy;Pharmaziegeschichte
Hit to lead;
Hofmann elimination;Hofmann-Eliminierung
Homologous desensitization;
Hyaluronan;Hyaluronsäure
Hydralazine;Hydralazin
Hydrogen peroxide - urea;
Hydroxocobalamin;Hydroxycobalamin
Hydroxychloroquine;Hydroxychloroquin
Hyoscyamine;Hyoscyamin
Ibritumomab tiuxetan;Ibritumomab-Tiuxetan
Iclaprim;Iclaprim
Idebenone;
Ifosfamide;Ifosfamid
Iloprost;
Imipenem;Imipenem
Indacaterol;Indacaterol
Indatraline;
Inosine;Inosin
Insufflation (medicine);
Insulin detemir;Insulin detemir
Insulin glargine;Insulin glargin
Insulin glulisine;
International unit;Internationale Einheit
Intramuscular injection;Intramuskuläre Injektion
Inverse agonist;Inverser Agonist
Investigational New Drug;
Iodised salt;Jodsalz
Ipodate sodium;
Irbesartan;Irbesartan
Isocarboxazid;Isocarboxazid
Isradipine;Isradipin
Itopride;Prokinetikum
Itraconazole;Itraconazol
Ivacaftor;
Ivermectin;Ivermectin
James Leonard Corning;James Leonard Corning
John Jacob Abel;John Jacob Abel
Kanamycin;Kanamycine
Ketobemidone;
Ketoprofen;Ketoprofen
Lactulose;Lactulose
Laropiprant;Laropiprant
Latrepirdine;Latrepirdin
Lentinan;Lentinan
Letrozole;Letrozol
Levacetylmethadol;Levacetylmethadol
Levamlodipine;
Levobetaxolol;
Levobupivacaine;
Levocetirizine;Levocetirizin
Levosimendan;Levosimendan
Lincomycin;Lincomycin
Liothyronine;
Lofepramine;Lofepramin
Lopinavir;Lopinavir
Lopinavir/ritonavir;
Lorcaserin;Lorcaserin
Lurasidone;Lurasidon
Lymecycline;
Lyprinol;
Lysergic acid 2-butyl amide;
Macrolide;Makrolide
Mazindol;Mazindol
McNeil Consumer Healthcare;
McNeil Laboratories;
Measles vaccine;
Mecillinam;
Meclizine;Meclozin
Medazepam;
Medical cannabis in the United States;
Medroxyprogesterone acetate;
Mefenamic acid;Mefenaminsäure
Megestrol acetate;
Meloxicam;Meloxicam
Melphalan;
Mepacrine;Mepacrin
Mepartricin;
Meropenem;Meropenem
Mesalazine;Mesalazin
Mesocarb;Mesocarb
Mesterolone;
Methacholine;Methacholin
Methimazole;Thiamazol
Methylenedioxypyrovalerone;Methylendioxypyrovaleron
Methylergometrine;Methylergometrin
Methylisopropyltryptamine;
Methylprednisolone;Methylprednisolon
Methysergide;Methysergid
Metopon;
Mianserin;Mianserin
Micafungin;
Migraleve;
Mitiglinide;
Molecular binding;
Monoamine oxidase B;
Monoamine reuptake inhibitor;
Montelukast;Montelukast
Moronic acid;
Mosapride;
Mupirocin;Mupirocin
N-Acetylserotonin;
N-Ethyltryptamine;
N-Methylphenethylamine;
Nadifloxacin;Nadifloxacin
Nafcillin;
Nalidixic acid;Nalidixinsäure
Naltrindole;
Nandrolone;Nandrolon
Neosporin;
Netilmicin;
Nicocodeine;
Nicomorphine;
Nimetazepam;
Nimodipine;Nimodipin
Nitazoxanide;Nitazoxanid
Nitrogen mustard;Loste
Nitroglycerin;Nitroglycerin
Nizatidine;
Nomifensine;Nomifensin
Nonclinical studies;
Nordazepam;Nordazepam
Norepinephrine releasing agent;
Nortriptyline;Nortriptylin
Number needed to vaccinate;
Nystatin;Nystatin
Ohmefentanyl;Ohmefentanyl
Olanzapine/fluoxetine;
Olopatadine;
Opipramol;Opipramol
Oprelvekin;
Oral contraceptive formulations;
Orphan receptor;
Orphenadrine;
Oxaliplatin;Oxaliplatin
Oxamniquine;Oxamniquin
Oxandrolone;Oxandrolon
Oxybuprocaine;Oxybuprocain
Oxycodone/aspirin;
Oxycyte;
Oxymetazoline;Oxymetazolin
Oxymetholone;Oxymetholon
Oxymorphol;
Oxymorphone;Oxymorphon
Oxytetracycline;Oxytetracyclin
Paliperidone;Paliperidon
Pamaquine;
Para-Methoxyamphetamine;4-Methoxyamphetamin
Paraldehyde;Paraldehyd
Penicillamine;Penicillamin
Pentylenetetrazol;Pentetrazol
Perhexiline;
Perindopril/indapamide;
Pharmaceutical form;
Pharmaceutical industry in China;
Pharmaceutical policy;
Pharmaceutical sciences;
Pharmacogenetics;Pharmakogenetik
Pharmacotherapy;
Pharmacotoxicology;
Pharmacovigilance;Pharmakovigilanz
Pharmakos;Pharmakós
Pharming (genetics);Pharming (Biotechnologie)
Phentolamine;Phentolamin
Phenylbutazone;Phenylbutazon
Phenylpropanolamine;Norephedrin
Pholcodine;
Physostigmine;Physostigmin
Picamilon;
Pilsicainide;
Pindolol;Pindolol
Pioglitazone;Pioglitazon
Piritramide;Piritramid
Piroxicam;Piroxicam
Pitavastatin;Pitavastatin
Podophyllotoxin;Podophyllotoxin
Polycarbophil calcium;
Polymyxin B;
Polystyrene sulfonate;
Poractant alfa;
Powder (substance);
Pramipexole;Pramipexol
Prasugrel;Prasugrel
Pregnenolone;Pregnenolon
Prescription Drug Marketing Act;
Probenecid;Probenecid
Prochlorperazine;Prochlorperazin
Procyclidine;
Production of antibiotics;
Promethazine;Promethazin
Promin;Promin
Propylhexedrine;Propylhexedrin
Prostacyclin;Prostacyclin
Prostaglandin E2;Prostaglandin E2
Protriptyline;Protriptylin
Pseudoephedrine/loratadine;
Pyridostigmine;Pyridostigmin
Pyrimethamine;Pyrimethamin
Pyruvic acid;Brenztraubensäure
Quantitative structure–activity relationship;Quantitative Struktur-Wirkungs-Beziehung
Quinbolone;
Quinupristin/dalfopristin;
Rabeprazole;Rabeprazol
Ractopamine;
Ramelteon;Ramelteon
Ramipril;Ramipril
Rasagiline;Rasagilin
Relative analgesia machine;
Releasing agent;
Renzapride;
Restylane;
Retigabine;Retigabin
Richard A. Houghten;
Rifaximin;Rifaximin
Rizatriptan;Rizatriptan
Rolipram;Rolipram
Ropivacaine;Ropivacain
Roxithromycin;Roxithromycin
Saroglitazar;
Saw palmetto extract;
Schild regression;Schild-Plot
Scope of practice;
Secnidazole;
Secobarbital;Secobarbital
Selank;
Selective androgen receptor modulator;Selektiver Androgenrezeptor-Modulator
Selective estrogen-receptor modulator;Selektiver Estrogenrezeptormodulator
Self-microemulsifying drug delivery system;
Serine;Serin
Sertindole;Sertindol
Sevelamer;Sevelamer
Sevoflurane;Sevofluran
Silibinin;Silibinin
Silver sulfadiazine;Silbersulfadiazin
Sitaxentan;Sitaxentan
Small molecule;Niedermolekulare Verbindung
Sodium hyaluronate;
Sodium nitroprusside;Nitroprussid
Sodium stibogluconate;Natriumstibogluconat
Solifenacin;Solifenacin
Sparfloxacin;
Stampidine;
Stanozolol;Stanozolol
Stiripentol;Stiripentol
Streptogramin A;
Streptogramin B;
Streptokinase;Streptokinase
Structure–activity relationship;
Sublingual administration;Sublingual
Succinic acid;Bernsteinsäure
Sucrets;
Sufentanil;Sufentanil
Sulfasalazine;Sulfasalazin
Sulfonmethane;Sulfonal
Summary of Product Characteristics;Zusammenfassung der Merkmale des Arzneimittels
Suramin;Suramin
Suspected Adverse Reaction Surveillance Scheme;
Tacrolimus;Tacrolimus
Talaporfin;
Tamsulosin;Tamsulosin
Technetium (99mTc) albumin aggregated;
Technetium (99mTc) fanolesomab;
Telavancin;
Telmisartan;Telmisartan
Temocillin;
Temozolomide;Temozolomid
Tenecteplase;
Tenofovir;Tenofovir
Teriparatide;Teriparatid
Terpin hydrate;
Testosterone;
Tetracosactide;
Tetrahydrogestrinone;Tetrahydrogestrinon
Tetramethylenedisulfotetramine;
Therapeutic effect;Therapeutische Wirksamkeit
Therapeutic index;Therapeutische Breite
Thiazolidinedione;Insulin-Sensitizer
ThioTEPA;Thiotepa
Thorotrast;Thorotrast
Threonine;Threonin
Throat lozenge;Hustenbonbon
Tiabendazole;Thiabendazol
Ticagrelor;Ticagrelor
Ticlopidine;Ticlopidin
Tigecycline;Tigecyclin
Tioguanine;Tioguanin
Tobramycin;
Tolmetin;
Tolperisone;
Toluene toxicity;
Topical steroid;
Transdermal patch;Transdermales Pflaster
Translocator protein;TSPO (Protein)
Tranylcypromine;Tranylcypromin
Trenbolone;Trenbolon
Trestolone;
Tricaine mesylate;
Trifluoperazine;
Triflusal;
Trihexyphenidyl;Trihexyphenidyl
Trimipramine;Trimipramin
Troglitazone;
Trovafloxacin;
Tryptamine;Tryptamine
Tylosin;Tylosin
Tyrothricin;Tyrothricin
Undecylenic acid;Undecylensäure
United States Adopted Name;
United States Pharmacopeia;
University of Pittsburgh School of Pharmacy;
Ustekinumab;Ustekinumab
Valganciclovir;Valganciclovir
Valnoctamide;Valnoctamid
Vanoxerine;Vanoxerin
Vemurafenib;Vemurafenib
Vidarabine;Vidarabin
Viminol;
Vinorelbine;Vinorelbin
Visine;
Voglibose;
Volume of distribution;Verteilungsvolumen
Wakefulness-promoting agent;
William Weightman;
Witch hazel (astringent);
Ximelagatran;
Xipamide;
Xylometazoline;Xylometazolin
Xylopropamine;
Zimelidine;Zimelidin
Zinc gluconate;
Zinc pyrithione;Zink-Pyrithion
Α-Methylfentanyl;
19-Iodocholesterol;
3,4-Methylenedioxyamphetamine;3,4-Methylendioxyamphetamin
72F fusion protein vaccine;
8-Aminoquinoline;
ACAM2000;
AM404;
ARIAD Pharmaceuticals;
Acadia Pharmaceuticals;
Acebutolol;Acebutolol
Aceprometazine;
Acetoxolone;
Acetrizoic acid;
Acetylleucine;
Aclarubicin;
Adipiodone;
Adrenorphin;
Aescin;Aescin
Alatrofloxacin;
Aldesulfone sodium;
Alfadolone;
Alfetamine;
Alhandal;
Alimemazine;
Alkalol;
Alkyl sulfonate;
Aloxiprin;
Alphamethylthiofentanyl;
Alphenal;Alphenal
Ambenonium chloride;
Ambuphylline;
Ambutonium bromide;
American Society of Pharmacognosy;
Amidorphin;
Amikhelline;
Amiphenazole;
Amosulalol;
Amphenicol;
Amphetamine dependence;
Ampiroxicam;
Amrubicin;
Analeptic;Analeptikum
Antimicrobial pharmacodynamics;
Antitarget;Antitarget
Apaziquone;
Apixaban;Apixaban
Aquaretic;
Arginine glutamate;
Arprinocid;
Arsenamide;
Artemether;Artemether
Aspirin/paracetamol/caffeine;
Atevirdine;
Aviptadil;
Azalide;
Azapride;
Azasetron;
Azilsartan;Azilsartan
Azlocillin;
BMS-470,539;
Bacampicillin;
Bamethan;
Bamifylline;
Bapineuzumab;
Barnidipine;
Bekanamycin;
Belotecan;
Bengay;
Benidipine;
BenzaClin;
Benzathine benzylpenicillin;Benzylpenicillin-Benzathin
Benzathine phenoxymethylpenicillin;
Benzilone;
Benziodarone;
Benzylbutylbarbiturate;
Benzylthiouracil;
Bephenium hydroxynaphthoate;
Bergapten;Bergapten
Bethanidine;
Bevonium;
Biapenem;
Bifemelane;
Bioequivalence;Bioäquivalenz
Biopharmaceutics Classification System;Biopharmazeutisches Klassifizierungssystem
Biopharmacology;Pharmazeutische Biotechnologie
Bisulepine;
Bithionol;
Brofaromine;
Bromhexine;Bromhexin
Bromo-Seltzer;
Bromochlorosalicylanilide;
Bromperidol;
Budipine;
Buflomedil;Buflomedil
Bunazosin;
Buphenine;
Butalamine;
Butallylonal;Butallylonal
Butamirate;
Butanilicaine;
Butaperazine;
Buthionine sulfoximine;
Butriptyline;Butriptylin
COMT inhibitor;
Cadralazine;
Caffeine citrate;
Calamine;Calamine (Stoffgemisch)
Camostat;
Carbarsone;
Carbazochrome;
Carbinoxamine;
Carbocisteine;Carbocystein
Carbocromen;
Carbutamide;Carbutamid
Carbuterol;
Carfecillin;
Carisbamate;
Carteolol;Carteolol
Carumonam;
Cefamandole;
Cefoperazone;
Cefovecin;Cefovecin
Cefozopran;
Ceftiofur;
Ceruletide;
Cethromycin;Cethromycin
Chemical genetics;
Chlorbenzoxamine;
Chlorcyclizine;
Chlormadinone acetate;
Chlorothen;
Chloroxylenol;Chlorxylenol
Chlortetracycline;Chlortetracyclin
Chlorzoxazone;
Cinepazet;
Ciprodex;
Classical pharmacology;
Clevudine;Clevudin
Clinical investigator;
Clinical pharmacology;Klinische Pharmakologie
Clobetasol propionate;Clobetasolpropionat
Clobetasone;
Clobutinol;Clobutinol
Clofilium;
Clominorex;
Cloperastine;
Cloprednol;
Cloridarol;
Clostebol;Clostebol
Cloxacillin;Cloxacillin
Cmax (pharmacology);
Colfosceril palmitate;
Confirmatory trial;
Context-sensitive half-life;
Cortivazol;
Cosyntropin;
Covered clinical study;
Cream (pharmaceutical);Hautcreme
Cromakalim;
Cross-tolerance;Kreuztoleranz
Cycloguanil;
Cyclopenthiazide;
Cyclopyrrolone;
Cyclothiazide;
DAMGO;
DCPG;
Danofloxacin;
Decoquinate;
Deferasirox;
Deflazacort;
Delapril;
Demecolcine;Demecolcin
Denileukin diftitox;Denileukindiftitox
Depressogenic;
Desaspidin;
Desonide;
Dexelvucitabine;
Dichloropane;
Dichlorophen;Dichlorophen
Diclazuril;
Diclofenamide;
Diethylcarbamazine;Diethylcarbamazin
Diethylthiambutene;
Difemerine;
Dihexyverine;
Dimemorfan;
Dimetacrine;
Dimethoxanate;
Dimethylthiambutene;
Dimiracetam;
Distribution (pharmacology);
Dixyrazine;
Dobutamine;Dobutamin
Dopexamine;Dopexamin
Doxefazepam;
Dropropizine;Dropropizin
Droxypropine;
Drug-induced QT prolongation;
Drug Efficacy Study Implementation;
Dyazide;
Dyphylline;
Ebrotidine;
Echinomycin;
Edivoxetine;
Edrecolomab;
Efaproxiral;
Efloxate;
Ego Pharmaceuticals;
Elcatonin;
Elesclomol;
Elsamitrucin;
Elvitegravir;
Elvitegravir/cobicistat/emtricitabine/tenofovir;
Embramine;
Emivirine;Emivirin
Endogenous agonist;
Endralazine;
Enflurane;Enfluran
Enoxacin;
Enteral administration;Enteral
Enteric coating;
Eperezolid;Eperezolid
Eprazinone;
Eprozinol;
Erdosteine;
Erythromycin/isotretinoin;
Esoterica (medication);
Estradiol acetate;
Estradiol cypionate;
Estradiol dipropionate;
Estradiol enanthate;
Estradiol undecylate;
Estradiol valerate;
Estrogen ester;
Etafenone;
Etaqualone;
Ethadione;
Ethylphenidate;
Eticyclidine;
Etilevodopa;
Etiocholanolone;
Etofylline nicotinate;
Etonogestrel;
Etoperidone;
Etymemazine;
Eupatilin;
Falecalcitriol;
Fasudil;
Favipiravir;
Fedrilate;
Fenadiazole;
Fencamine;
Fenclozic acid;
Fenoverine;
Fenpiprane;
Fenpiverinium;
Fenspiride;
Fenticlor;
Fentonium;
Festal;
Firocoxib;
Fisherman's Friend;Fisherman’s Friend
Flomoxef;
Florfenicol;Florfenicol
Fluacizine;
Flubendazole;Flubendazol
Fludroxycortide;
Fluminorex;
Flumizole;
Fluorometholone;
Flurothyl;
Fluvastatin;Fluvastatin
Fosfomycin/tobramycin;
Free base;
GTS-21;
Gacyclidine;
Gadobenic acid;
Gadoteric acid;Gadotersäure
Gadoteridol;
Gadoxetic acid;
Gallamine triethiodide;
Gallium nitrate;Galliumnitrat
Gallopamil;Gallopamil
Gedocarnil;
Gepirone;
Glibornuride;
Glisoxepide;
Glycobiarsol;
Glymidine sodium;
Griseofulvin;Griseofulvin
Guaiacolsulfonate;
Guanazodine;
Guanochlor;
Guanoxan;
Heptabarb;Heptabarbital
Hexamidine;
Hexethal;
Hexobarbital;Hexobarbital
Hexocyclium;
Higenamine;
Hycanthone;
Hydrastine;Hydrastin
Hydrocortisone aceponate;
Hydrocortisone buteprate;
Hydroflumethiazide;
Hydroxypethidine;
Hypoxis hemerocallidea;
Ibogamine;
Icariin;
Icatibant;Icatibant
Icotinib;
Idanpramine;
Idarubicin;Idarubicin
Imidapril;
Imuracetam;
Incadronic acid;
Indecainide;
Indeloxazine;
Inosine pranobex;
Inositol nicotinate;
Integrase inhibitor;Integrase-Inhibitor
Interferon alfa 2b;
International Society of Pharmacovigilance;International Society of Pharmacovigilance
Intrinsic activity;
Iobitridol;
Iodamide;
Iofetamine (123I);
Iopamidol;Iopamidol
Iprazochrome;
Iproheptine;
Iproniazid;Iproniazid
Irreversible agonist;
Isavuconazole;
Isoaminile;
Isoetarine;
Isometamidium chloride;
Isopromethazine;
Istradefylline;Istradefyllin
Itramin tosilate;
Ixabepilone;
Japanese Accepted Name;
Kainic acid;Kainsäure
Kappadione;
Kitasamycin;
L-AP4;
Lacosamide;Lacosamid
Lafutidine;
Lamivudine/zidovudine;
Laniquidar;
Larotaxel;
Lasalocid;
Latamoxef;
Lefetamine;
Lenograstim;Lenograstim
Lepirudin;
Letosteine;
Levallorphan;
Levobunolol;Levobunolol
Levodropropizine;Levodropropizin
Levomethadone;
Levophenacylmorphan;
Levosulpiride;
Librax;
Lifestyle drug;
Linopirdine;
Linsidomine;
Lipiodol;
Lisuride;Lisurid
Lithium succinate;
Lodoxamide;
Lomefloxacin;Lomefloxacin
Lomerizine;
Lomustine;Lomustin
Loracarbef;
Lucanthone;
Lumefantrine;Lumefantrin
Luzindole;
Macrocin;
Magnetic marker monitoring;
Mangafodipir;Mangafodipir
Manidipine;
Mannosulfan;
Mebroqualone;
Mebutizide;
Mecasermin;
Mechanism of action;
