Antioxidant;Antioxidans
Bretazenil;Bretazenil
Bufotenin;Bufotenin
Bupivacaine;Bupivacain
Cabergoline;Cabergolin
Cannabidiol;Cannabidiol
Cefquinome;Cefquinome
Ceftaroline fosamil;Ceftarolinfosamil
Cetirizine;Cetirizin
Chicago Tylenol murders;Chicago Tylenol Morde
Cinoxacin;Cinoxacin
Clearance (medicine);Clearance (Medizin)
Clenbuterol;Clenbuterol
Clobazam;Clobazam
Colistin;Colistin
Creatine;Kreatin
Cyclobenzaprine;Cyclobenzaprine
Cytisine;Cytisin
Dabigatran;Dabigatranetexilat
Dapsone;Dapson
Delorazepam;Delorazepam
Desiccated thyroid extract;Ausgetrocknete Schilddrüsen-Extrakt
Dextropropoxyphene;Dextropropoxyphen
Didanosine;Didanosin
Diltiazem;Diltiazem
Discovery and development of serotonin receptor antagonists;Die Entdeckung und Entwicklung von serotonin-rezeptor-Antagonisten
Discovery and development of triptans;Die Entdeckung und Entwicklung von triptanen
Doping at the Olympic Games;Doping bei den Olympischen Spielen
Effects of long-term benzodiazepine use;Auswirkungen von Langzeit-Benzodiazepin-Nutzung
Efficacy;Wirksamkeit
Eldecalcitol;Eldecalcitol
Electronic prescribing;Elektronische Verschreibung
Emtricitabine/tenofovir/efavirenz;Emtricitabin/tenofovir/efavirenz
Ergogenic use of anabolic steroids;Ergogene Einsatz von Anabolika
Ergoline;Ergolin
Estazolam;Estazolam
Ethyl eicosapentaenoic acid;Ethyl-Eicosapentaensäure
Excipient;Pharmazeutischer Hilfsstoff
Fexofenadine;Fexofenadin
Finasteride;Finasterid
Fluoride therapy;Fluorid-Therapie
Fluoride toxicity;Fluorose
Folate targeting;Folat-targeting
Gantacurium chloride;Gantacurium Chlorid
Gateway drug theory;Einstiegsdroge
Glutamic acid;Glutaminsäure
Henderson–Hasselbalch equation;Henderson-Hasselbalch-Gleichung
High-content screening;High-content-screening
History of neuraxial anesthesia;Geschichte der Anästhesie neuraxial
Hsp90 inhibitor;Hsp90-inhibitor
Hydroxycarbamide;Hydroxycarbamid
Hydroxyethyl starch;Hydroxyethylstärke
Illegal drug trade in Latin America;Illegaler Handel mit den Drogen in Lateinamerika
Insulin aspart;Insulin aspart
Intravenous immunoglobulin;Intravenöses immunglobulin
Ipratropium bromide;Ipratropiumbromid
Iprindole;Iprindol
Ivabradine;Ivabradin
Ketazolam;Ketazolam
Lactated Ringer's solution;Ringerlösung
Levothyroxine;Thyroxin
Lisdexamfetamine;Lisdexamfetamin
Loprazolam;Loprazolam
Lormetazepam;Lormetazepam
Malaria vaccine;Malaria-Impfstoff
Marine pharmacognosy;Marine Pharmakognosie
Metamizole;Metamizol
Metoclopramide;Metoclopramid
Misconceptions about drugs;Missverständnisse über Drogen
Moclobemide;Moclobemid
Nerve agent;Nervenkampfstoff
Neurobiological effects of physical exercise;Neurobiologische Effekte von körperlicher betätigung
Neuropsychopharmacology;Neuropsychopharmacology
New England Compounding Center meningitis outbreak;New England Compounding Center meningitis-Ausbruch
Nisoxetine;Nisoxetin
Norepinephrine;Noradrenalin
Octreotide;Octreotid
Orphan Drug Act of 1983;Orphan Drug Act von 1983
Paul Janssen;Paul Janssen
Pentamidine;Pentamidin
Penthrox inhaler;Penthrox Inhalator
Pharmacognosy;Pharmakognosie
Polyestradiol phosphate;Polyestradiol Phosphat
Prazepam;Prazepam
Premarin;Premarin
Prokinetic agent;Prokinetikum
Prulifloxacin;Prulifloxacin
Radioactive tracer;Tracer (Nuklearmedizin)
Raltegravir;Raltegravir
Reuptake inhibitor;- Wiederaufnahme-Hemmer
Reverse-transcriptase inhibitor;Reverse-Transkriptase-Hemmer
Rhamnus purshiana;Cascara sagrada
Seirogan;Seirogan
Seratrodast;Seratrodast
Serotonin–norepinephrine–dopamine reuptake inhibitor;Serotonin-Noradrenalin-Dopamin-Wiederaufnahme-Hemmer
Sodium oxybate;Natrium oxybate
Sofosbuvir;Sofosbuvir
Stavudine;Stavudin
Streptozotocin;Streptozocin
Strontium ranelate;Strontiumranelat
TGN1412;TGN1412
Tetrazepam;Tetrazepam
Trace amine;Spurenamine
Trace amine-associated receptor;Trace-Amin-assoziierte Rezeptoren
Tropoxane;Tropoxane
Trospium chloride;Trospiumchlorid
Tylenol;Tylenol
Vasodilation;Vasodilatation
Vesicular monoamine transporter;Vesikuläre Monoamin-transporter
Yohimbine;Yohimbin
Zalcitabine;Zalcitabin
1,4,6-Androstatriene-3,17-dione;1,4,6-Androstatriene-3,17-dione
11-Hydroxy-THC;11-Hydroxy-THC
2C-I;2,5-Dimethoxy-4-iodphenethylamin
3-Hydroxymorphinan;3-Hydroxymorphinan
4-Aminosalicylic acid;4-Aminosalicylsäure
4-Androstene-3,6,17-trione;4-Androsten-3,6,17-trion
4-Methylaminorex;4-Methylaminorex
ATryn;Antithrombin Alfa
Abagovomab;Abagovomab
Abciximab;Abciximab
Abecarnil;Abecarnil
Acamprosate;Acamprosat
Acarbose;Acarbose
Acetildenafil;Acetildenafil
Acetylcarnitine;Acetylcarnitine
Active ingredient;Arzneistoff
Active metabolite;Aktive Metabolit
Adapalene;Adapalen
Adefovir;Adefovir
Adrafinil;Adrafinil
Advil;Advil
Aflibercept;Aflibercept
Airborne (dietary supplement);Airborne (Nahrungsergänzungsmittel)
Akuammine;Akuammine
Alclometasone;Alclometasone
Alefacept;Alefacept
Alemtuzumab;Alemtuzumab
Alfentanil;Alfentanil
Alka-Seltzer;Alka-Seltzer
Allosteric modulator;Allosterischer Modulator
Allosteric regulation;Allosterie
Alogliptin;Alogliptin
Alosetron;Alosetron
Alpha 1-antitrypsin;Α-1-Antitrypsin
Alsactide;Alsactide
Altretamine;Altretamin
Ambroxol;Ambroxol
Amfepramone;Amfepramone
Amikacin;Amikacin
Aminocaproic acid;Aminocapronsäure
Aminocoumarin;Aminocumarine
Aminohippuric acid;P-Aminohippursäure
Aminolevulinic acid;5-Aminolävulinsäure
Amlexanox;Amlexanox
Amoxapine;Amoxapin
Amtolmetin guacil;Amtolmetin guacil
Amyl nitrite;Amylnitrit
Anakinra;Anakinra
Anthelmintic;Anthelminthikum
Antifolate;Antifolate
Antigonadotropin;Antigonadotropin
Antimineralocorticoid;Antimineralocorticoid
Antimony pentasulfide;Antimon(V)-sulfid
Antithyroid agent;Thyreostatikum
Anxiogenic;Furchtauslösende
Arbekacin;Arbekacin
Arbidol;Arbidol
Argatroban;Argatroban
Ascomycin;Ascomycin
Asparagine;Asparagin
Aspartic acid;Asparaginsäure
Aspergum;Aspergum
Atenolol;Atenolol
Atovaquone;Atovaquon
Atovaquone/proguanil;Atovaquon-Proguanil
August Bier;August Bier
Azelaic acid;Azelainsäure
Aztreonam;Aztreonam
Benazepril;Benazepril
Bendamustine;Bendamustin
Benzatropine;Benzatropin
Benzbromarone;Benzbromaron
Benzocaine;Benzocain
Benzonatate;Benzonatate
Benzphetamine;Benzphetamine
Benztropine;Benztropine
Benzyl benzoate;Benzoesäurebenzylester
Betahistine;Betahistin
Betahydroxythiofentanyl;Betahydroxythiofentanyl
Betamethasone;Betamethason
Bethanechol;Bethanechol
Bezafibrate;Bezafibrat
Bicalutamide;Bicalutamide
Bifeprunox;Bifeprunox
Bimatoprost;Bimatoprost
Biological half-life;Biologische Halbwertszeit
Biological target;Target (Biologie)
Biperiden;Biperiden
Bivalirudin;Bivalirudin
Black triangle (pharmacovigilance);Schwarzes Dreieck (Pharmakovigilanz)
Blinatumomab;Blinatumomab
Blonanserin;Blonanserin
Blood–brain barrier;Blut-Hirn-Schranke
Bosutinib;Bosutinib
Breast cancer chemotherapy;Brustkrebs Chemotherapie
Bremelanotide;Bremelanotid
Bromocriptine;Bromocriptin
Brompheniramine;Brompheniramine
Brotizolam;Brotizolam
Budesonide;Budesonid
Busulfan;Busulfan
Butalbital;Butalbital
Butorphanol;Butorphanol
Butylscopolamine;Butylscopolaminbromid
Calcium 2-aminoethylphosphate;Calcium-2-aminoethylphosphate
Canagliflozin;Canagliflozin
Candesartan;Candesartan
Cannabinoid;Cannabinoide
Capecitabine;Capecitabin
Carbachol;Carbachol
Carbamazepine;Carbamazepin
Carbenoxolone;Carbenoxolon
Carfentanil;Carfentanyl
Carisoprodol;Carisoprodol
Carmustine;Carmustin
Carprofen;Carprofen
Caspofungin;Caspofungin
Cefaclor;Cefaclor
Cefepime;Cefepime
Cefotaxime;Cefotaxim
Cefotetan;Cefotetan
Ceftazidime;Ceftazidim
Cefuroxime;Cefuroxim
Cerivastatin;Cerivastatin
Certificate of pharmaceutical product;Zertifikat der pharmazeutischen Produkt
Cheminformatics;Chemoinformatik
Chemogenomics;Chemische Genetik
Chlorhexidine gluconate;Chlorhexidingluconat
Chloropyramine;Chloropyramine
Chlorphentermine;Chlorphentermine
Chlorpropamide;Chlorpropamid
Chlorprothixene;Chlorprothixen
Cholera vaccine;Cholera-Impfstoff
Cholestyramine;Colestyramin
Cilostazol;Cilostazol
Clemastine;Clemastin
Clevidipine;Clevidipine
Clinical pharmacy;Klinische Pharmazie
Clinical research;Klinische Forschung
Clinical trials unit;Clinical trials unit
Clofarabine;Clofarabine
Clofazimine;Clofazimin
Clomethiazole;Clomethiazol
Clomifene;Clomifen
Co-codamol;Co-codamol
Colostrinin;Colostrinin
Combinatorial chemistry;Kombinatorische Chemie
Compounding;Eigenherstellung von Arzneimitteln
Concomitant drug;Die gleichzeitige Medikament
Contract research organization;Auftragsforschungsinstitut
Crossover study;Doppelcrossover
Cryogenine;Cryogenine
Cyclizine;Cyclizin
Cyclopentamine;Cyclopentamine
Cycloserine;Cycloserin
Cyproheptadine;Cyproheptadin
Cysteamine;Cysteamine
Cysteine;Cystein
Dacarbazine;Dacarbazin
Daclizumab;Daclizumab
Dactinomycin;Actinomycin D
Dalfopristin;Dalfopristin
Danazol;Danazol
Dantrolene;Dantrolen
Daptomycin;Daptomycin
Darbepoetin alfa;Darbepoetin alfa
Darunavir;Darunavir
Dasatinib;Dasatinib
Daunorubicin;Daunorubicin
Deferiprone;Deferipron
Deferoxamine;Deferoxamin
Defibrotide;Defibrotide
Dehydroemetine;Dehydroemetine
Delavirdine;Delavirdin
Demeclocycline;Demeclocycline
Desloratadine;Desloratadin
Desmopressin;Desmopressin
Desoximetasone;Desoximetasone
Desoxypipradrol;Desoxypipradrol
Dexbrompheniramine/pseudoephedrine;Dexbrompheniramine/Pseudoephedrin
Dexmedetomidine;Dexmedetomidin
Dextromoramide;Dextromoramid
Dextrorphan;Dextrorphan
Diacetyldihydromorphine;Diacetyldihydromorphine
Dibutyltryptamine;Dibutyltryptamine
Dicoumarol;Dicumarol
Dicycloverine;Dicycloverine
Diethyltryptamine;Diethyltryptamine
Dihydromorphine;Dihydromorphine
Dihydrotestosterone;Dihydrotestosteron
Diisopropyltryptamine;Diisopropyltryptamine
Dimercaprol;Dimercaprol
Dimercaptosuccinic acid;Dimercaptobernsteinsäure
Diosmin;Diosmin
Diphenoxylate;Diphenoxylat
Dipropyltryptamine;Dipropyltryptamine
Dissociation (chemistry);Dissoziation (Chemie)
Dissociative;Dissoziativa
Dizocilpine;Dizocilpine
Docosanol;Docosanol
Dofetilide;Dofetilid
Dolasetron;Dolasetron
Donnatal;Donnatal
Dornase alfa;Desoxyribonuklease#Verwendung als Arzneistoff
Dosage form;Arzneiform
Dose–response relationship;Dosis-Wirkungs-Kurve
Dosulepin;Dosulepin
Doxapram;Doxapram
Doxepin;Doxepin
Doxylamine;Doxylamin
Drospirenone;Drospirenon
Droxidopa;Droxidopa
Drug-induced amnesia;Arzneimittel-induzierte Amnesie
Drug Master File;Drug Master File
Drug delivery;Drug-delivery -
Drug discovery;Pharmaforschung
Drug holiday;Medikament Urlaub
Drug policy;Drogenpolitik
Drug reaction testing;Medikament Reaktion testen
Ecallantide;Ecallantid
Effective dose (pharmacology);Effektive Dosis (Pharmakologie)
Emetine;Emetin
Emtricitabine;Emtricitabin
Emulsion;Emulsion
Endorphins;Endorphine
Entecavir;Entecavir
Eperisone;Eperison
Epiandrosterone;Epiandrosterone
Epinephrine autoinjector;Adrenalin autoinjector
Epirubicin;Epirubicin
Eplerenone;Eplerenon
Epoprostenol;Epoprostenol
Ergine;Ergin
Ergometrine;Ergometrin
Eribulin;Eribulin
Ertapenem;Ertapenem
Esmolol;Esmolol
Estrone;Estron
Etanercept;Etanercept
Ethambutol;Ethambutol
Ethchlorvynol;Ethchlorvynol
Ethocybin;Psilocybin
Ethotoin;Ethotoin
Ethylisopropyltryptamine;Ethylisopropyltryptamine
Ethylmorphine;Ethylmorphine
Etilamfetamine;Etilamfetamine
Excedrin;Excedrin
Ezetimibe;Ezetimib
FOLFIRINOX;FOLFIRINOX
Febuxostat;Febuxostat
Felbamate;Felbamat
Fencamfamine;Fencamfamine
Fenofibrate;Fenofibrat
Fenoterol;Fenoterol
Filgrastim;Filgrastim
First DataBank;Erste Datenbank
Fixed-dose combination (antiretroviral);Fest-Dosis-Kombination (antiretrovirale)
Flavoxate;Flavoxate
Floxuridine;Floxuridine
Fludarabine;Fludarabin
Flumazenil;Flumazenil
Fluoxymesterone;Fluoxymesteron
Fluphenazine;Fluphenazin
Folinic acid;Folinsäure
Fondaparinux;Fondaparinux
Food and Drug Administration Modernization Act of 1997;Food and Drug Administration Modernization Act von 1997
Formoterol;Formoterol
Fosfomycin;Fosfomycin
Fosinopril;Fosinopril
Fosphenytoin;Fosphenytoin
Frank Baldino, Jr.;Frank Baldino, Jr.
Furazolidone;Furazolidon
GABAA receptor;GABAA-rezeptor
Galantamine;Galantamin
Galenika a.d.;Galenika
Gatifloxacin;Gatifloxacin
Gefitinib;Gefitinib
Gemcitabine;Gemcitabin
Gemfibrozil;Gemfibrozil
Gemifloxacin;Gemifloxacin
Gestodene;Gestoden
Gestrinone;Gestrinone
Glutamine;Glutamin
Glutethimide;Glutethimid
Glycine;Glycin
Gonadotropin-releasing hormone antagonist;Gonadotropin-releasing-Hormon-Antagonisten
Gramicidin B;Gramicidin B
Granulocyte macrophage colony-stimulating factor;GM-CSF
Grapefruit juice;Grapefruit-Saft
Grepafloxacin;Grepafloxacin
Guanethidine;Guanethidin
Guanidine;Guanidin
HIV drug resistance;HIV drug resistance
Halofuginone;Halofuginone
Halothane;Halothan
Hand sanitizer;Händedesinfektionsmittel
Health effects of chocolate;Gesundheitliche Auswirkungen von Schokolade
Hemin;Hämine
Hemofarm a.d.;Hemofarm
History of pharmacy;Pharmaziegeschichte
Hit to lead;Treffer zu führen
Hofmann elimination;Hofmann-Eliminierung
Homologous desensitization;Homologe Desensibilisierung
Hyaluronan;Hyaluronsäure
Hydralazine;Hydralazin
Hydrogen peroxide - urea;Wasserstoffperoxid - Harnstoff
Hydroxocobalamin;Hydroxycobalamin
Hydroxychloroquine;Hydroxychloroquin
Hyoscyamine;Hyoscyamin
Ibritumomab tiuxetan;Ibritumomab-Tiuxetan
Iclaprim;Iclaprim
Idebenone;Idebenone
Ifosfamide;Ifosfamid
Iloprost;Iloprost
Imipenem;Imipenem
Indacaterol;Indacaterol
Indatraline;Indatraline
Inosine;Inosin
Insufflation (medicine);Insufflation (Medizin)
Insulin detemir;Insulin detemir
Insulin glargine;Insulin glargin
Insulin glulisine;Insulin glulisine
International unit;Internationale Einheit
Intramuscular injection;Intramuskuläre Injektion
Inverse agonist;Inverser Agonist
Investigational New Drug;Investigational New Drug
Iodised salt;Jodsalz
Ipodate sodium;Ipodate Natrium
Irbesartan;Irbesartan
Isocarboxazid;Isocarboxazid
Isradipine;Isradipin
Itopride;Prokinetikum
Itraconazole;Itraconazol
Ivacaftor;Ivacaftor
Ivermectin;Ivermectin
James Leonard Corning;James Leonard Corning
John Jacob Abel;John Jacob Abel
Kanamycin;Kanamycine
Ketobemidone;Ketobemidone
Ketoprofen;Ketoprofen
Lactulose;Lactulose
Laropiprant;Laropiprant
Latrepirdine;Latrepirdin
Lentinan;Lentinan
Letrozole;Letrozol
Levacetylmethadol;Levacetylmethadol
Levamlodipine;Levamlodipine
Levobetaxolol;Levobetaxolol
Levobupivacaine;Levobupivacaine
Levocetirizine;Levocetirizin
Levosimendan;Levosimendan
Lincomycin;Lincomycin
Liothyronine;Liothyronine
Lofepramine;Lofepramin
Lopinavir;Lopinavir
Lopinavir/ritonavir;Lopinavir/ritonavir
Lorcaserin;Lorcaserin
Lurasidone;Lurasidon
Lymecycline;Lymecycline
Lyprinol;Lyprinol
Lysergic acid 2-butyl amide;Lysergsäure, 2-butyl-amid
Macrolide;Makrolide
Mazindol;Mazindol
McNeil Consumer Healthcare;McNeil Consumer Healthcare
McNeil Laboratories;McNeil Laboratorien
Measles vaccine;Masern-Impfstoff
Mecillinam;Mecillinam
Meclizine;Meclozin
Medazepam;Medazepam
Medical cannabis in the United States;Medizinisches cannabis in den Vereinigten Staaten
Medroxyprogesterone acetate;Medroxyprogesterone acetate
Mefenamic acid;Mefenaminsäure
Megestrol acetate;Megestrolazetat
Meloxicam;Meloxicam
Melphalan;Melphalan
Mepacrine;Mepacrin
Mepartricin;Mepartricin
Meropenem;Meropenem
Mesalazine;Mesalazin
Mesocarb;Mesocarb
Mesterolone;Mesterolone
Methacholine;Methacholin
Methimazole;Thiamazol
Methylenedioxypyrovalerone;Methylendioxypyrovaleron
Methylergometrine;Methylergometrin
Methylisopropyltryptamine;Methylisopropyltryptamine
Methylprednisolone;Methylprednisolon
Methysergide;Methysergid
Metopon;Metopon
Mianserin;Mianserin
Micafungin;Micafungin
Migraleve;Migraleve
Mitiglinide;Mitiglinide
Molecular binding;Molekulare Bindung
Monoamine oxidase B;Monoaminoxidase-B
Monoamine reuptake inhibitor;Monoamin-Wiederaufnahmehemmer
Montelukast;Montelukast
Moronic acid;Schwachsinnig-Säure
Mosapride;Mosapride
Mupirocin;Mupirocin
N-Acetylserotonin;N-Acetylserotonin
N-Ethyltryptamine;N-Ethyltryptamine
N-Methylphenethylamine;N-Methylphenethylamine
Nadifloxacin;Nadifloxacin
Nafcillin;Nafcillin
Nalidixic acid;Nalidixinsäure
Naltrindole;Naltrindole
Nandrolone;Nandrolon
Neosporin;Neosporin
Netilmicin;Netilmicin
Nicocodeine;Nicocodeine
Nicomorphine;Nicomorphine
Nimetazepam;Nimetazepam
Nimodipine;Nimodipin
Nitazoxanide;Nitazoxanid
Nitrogen mustard;Loste
Nitroglycerin;Nitroglycerin
Nizatidine;Nizatidine
Nomifensine;Nomifensin
Nonclinical studies;Präklinische Studien
Nordazepam;Nordazepam
Norepinephrine releasing agent;Noradrenalin-releasing agent
Nortriptyline;Nortriptylin
Number needed to vaccinate;Number needed to impfen
Nystatin;Nystatin
Ohmefentanyl;Ohmefentanyl
Olanzapine/fluoxetine;Olanzapin/Fluoxetin
Olopatadine;Olopatadine
Opipramol;Opipramol
Oprelvekin;Oprelvekin
Oral contraceptive formulations;Orale Kontrazeptiva Formulierungen
Orphan receptor;Orphan-rezeptor -
Orphenadrine;Orphenadrine
Oxaliplatin;Oxaliplatin
Oxamniquine;Oxamniquin
Oxandrolone;Oxandrolon
Oxybuprocaine;Oxybuprocain
Oxycodone/aspirin;Oxycodon/aspirin
Oxycyte;Oxycyte
Oxymetazoline;Oxymetazolin
Oxymetholone;Oxymetholon
Oxymorphol;Oxymorphol
Oxymorphone;Oxymorphon
Oxytetracycline;Oxytetracyclin
Paliperidone;Paliperidon
Pamaquine;Pamaquine
Para-Methoxyamphetamine;4-Methoxyamphetamin
Paraldehyde;Paraldehyd
Penicillamine;Penicillamin
Pentylenetetrazol;Pentetrazol
Perhexiline;Perhexiline
Perindopril/indapamide;Perindopril/Indapamid
Pharmaceutical form;Darreichungsform
Pharmaceutical industry in China;Pharmazeutische Industrie in China
Pharmaceutical policy;Pharma-Politik
Pharmaceutical sciences;Pharmazeutische Wissenschaften
Pharmacogenetics;Pharmakogenetik
Pharmacotherapy;Pharmakotherapie
Pharmacotoxicology;Pharmacotoxicology
Pharmacovigilance;Pharmakovigilanz
Pharmakos;Pharmakós
Pharming (genetics);Pharming (Biotechnologie)
Phentolamine;Phentolamin
Phenylbutazone;Phenylbutazon
Phenylpropanolamine;Norephedrin
Pholcodine;Pholcodine
Physostigmine;Physostigmin
Picamilon;Picamilon
Pilsicainide;Pilsicainide
Pindolol;Pindolol
Pioglitazone;Pioglitazon
Piritramide;Piritramid
Piroxicam;Piroxicam
Pitavastatin;Pitavastatin
Podophyllotoxin;Podophyllotoxin
Polycarbophil calcium;Polycarbophil calcium
Polymyxin B;Polymyxin B
Polystyrene sulfonate;Polystyrol-sulfonate
Poractant alfa;Poractant alfa
Powder (substance);Pulver (Stoff -)
Pramipexole;Pramipexol
Prasugrel;Prasugrel
Pregnenolone;Pregnenolon
Prescription Drug Marketing Act;Verschreibungspflichtiges Medikament Marketing-Act
Probenecid;Probenecid
Prochlorperazine;Prochlorperazin
Procyclidine;Procyclidine
Production of antibiotics;Produktion von Antibiotika
Promethazine;Promethazin
Promin;Promin
Propylhexedrine;Propylhexedrin
Prostacyclin;Prostacyclin
Prostaglandin E2;Prostaglandin E2
Protriptyline;Protriptylin
Pseudoephedrine/loratadine;Pseudoephedrin/loratadine
Pyridostigmine;Pyridostigmin
Pyrimethamine;Pyrimethamin
Pyruvic acid;Brenztraubensäure
Quantitative structure–activity relationship;Quantitative Struktur-Wirkungs-Beziehung
Quinbolone;Quinbolone
Quinupristin/dalfopristin;Quinupristin/dalfopristin
Rabeprazole;Rabeprazol
Ractopamine;Ractopamin
Ramelteon;Ramelteon
Ramipril;Ramipril
Rasagiline;Rasagilin
Relative analgesia machine;Relative Analgesie Maschine
Releasing agent;Releasing agent
Renzapride;Renzapride
Restylane;Restylane
Retigabine;Retigabin
Richard A. Houghten;Richard A. Houghten
Rifaximin;Rifaximin
Rizatriptan;Rizatriptan
Rolipram;Rolipram
Ropivacaine;Ropivacain
Roxithromycin;Roxithromycin
Saroglitazar;Saroglitazar
Saw palmetto extract;Saw palmetto Extrakt
Schild regression;Schild-Plot
Scope of practice;Umfang der Praxis
Secnidazole;Secnidazole
Secobarbital;Secobarbital
Selank;Selank
Selective androgen receptor modulator;Selektiver Androgenrezeptor-Modulator
Selective estrogen-receptor modulator;Selektiver Estrogenrezeptormodulator
Self-microemulsifying drug delivery system;Selbst microemulsifying drug-delivery-system
Serine;Serin
Sertindole;Sertindol
Sevelamer;Sevelamer
Sevoflurane;Sevofluran
Silibinin;Silibinin
Silver sulfadiazine;Silbersulfadiazin
Sitaxentan;Sitaxentan
Small molecule;Niedermolekulare Verbindung
Sodium hyaluronate;Sodium hyaluronate
Sodium nitroprusside;Nitroprussid
Sodium stibogluconate;Natriumstibogluconat
Solifenacin;Solifenacin
Sparfloxacin;Sparfloxacin
Stampidine;Stampidine
Stanozolol;Stanozolol
Stiripentol;Stiripentol
Streptogramin A;Streptogramin A
Streptogramin B;Streptogramin B
Streptokinase;Streptokinase
Structure–activity relationship;Struktur-Aktivitäts-Beziehung
Sublingual administration;Sublingual
Succinic acid;Bernsteinsäure
Sucrets;Sucrets
Sufentanil;Sufentanil
Sulfasalazine;Sulfasalazin
Sulfonmethane;Sulfonal
Summary of Product Characteristics;Zusammenfassung der Merkmale des Arzneimittels
Suramin;Suramin
Suspected Adverse Reaction Surveillance Scheme;Verdacht Auf Unerwünschte Reaktion Surveillance Scheme
Tacrolimus;Tacrolimus
Talaporfin;Talaporfin
Tamsulosin;Tamsulosin
Technetium (99mTc) albumin aggregated;Technetium (99mTc) albumin aggregiert
